shape,interval,block_size,format,run,blocks,decompressed_bytes,on_disk_data_bytes,index_bytes,file_bytes,entries,forward_ns_per_entry,reverse_ns_per_entry,reverse_p99_ns,cache_hits,cache_misses
prefix-heavy,16,65536,delta,2,66,4305504,746525,3479,893878,120000,28.39,83.84,541,132,0
prefix-heavy,16,65536,legacy,3,134,8774078,1129455,7001,1280314,120000,16.02,58.60,42,268,0
prefix-heavy,16,65536,delta,3,66,4305504,746525,3479,893878,120000,27.91,87.77,541,132,0
prefix-heavy,16,65536,legacy,4,134,8774078,1129455,7001,1280314,120000,13.87,59.54,83,268,0
prefix-heavy,16,65536,delta,4,66,4305504,746525,3479,893878,120000,26.91,82.80,500,132,0
prefix-heavy,32,4096,legacy,0,2138,8769146,1275567,109729,1529154,120000,16.21,60.00,584,4276,0
prefix-heavy,32,4096,delta,0,1007,4149683,805518,51937,1001329,120000,34.99,312.16,917,2014,0
prefix-heavy,32,4096,legacy,1,2138,8769146,1275567,109729,1529154,120000,20.24,1292.47,834,4276,0
prefix-heavy,32,4096,delta,1,1007,4149683,805518,51937,1001329,120000,32.20,100.01,917,2014,0
prefix-heavy,32,4096,legacy,2,2138,8769146,1275567,109729,1529154,120000,24.43,95.94,750,4276,0
prefix-heavy,32,4096,delta,2,1007,4149683,805518,51937,1001329,120000,96.67,86.61,916,2014,0
prefix-heavy,32,4096,legacy,3,2138,8769146,1275567,109729,1529154,120000,18.80,69.19,708,4276,0
prefix-heavy,32,4096,delta,3,1007,4149683,805518,51937,1001329,120000,29.10,91.98,916,2014,0
prefix-heavy,32,4096,legacy,4,2138,8769146,1275567,109729,1529154,120000,17.49,68.43,750,4276,0
prefix-heavy,32,4096,delta,4,1007,4149683,805518,51937,1001329,120000,29.18,88.89,916,2014,0
prefix-heavy,32,8192,legacy,0,1069,8764866,1195767,54854,1394479,120000,18.33,61.15,125,2138,0
prefix-heavy,32,8192,delta,0,506,4148032,748170,26108,918152,120000,32.69,125.84,875,1012,0
prefix-heavy,32,8192,legacy,1,1069,8764866,1195767,54854,1394479,120000,15.70,68.84,125,2138,0
prefix-heavy,32,8192,delta,1,506,4148032,748170,26108,918152,120000,95.97,238.23,958,1012,0
prefix-heavy,32,8192,legacy,2,1069,8764866,1195767,54854,1394479,120000,15.82,153.50,125,2138,0
prefix-heavy,32,8192,delta,2,506,4148032,748170,26108,918152,120000,36.86,87.61,917,1012,0
prefix-heavy,32,8192,legacy,3,1069,8764866,1195767,54854,1394479,120000,15.98,60.42,125,2138,0
prefix-heavy,32,8192,delta,3,506,4148032,748170,26108,918152,120000,28.87,86.32,916,1012,0
prefix-heavy,32,8192,legacy,4,1069,8764866,1195767,54854,1394479,120000,15.88,60.92,125,2138,0
prefix-heavy,32,8192,delta,4,506,4148032,748170,26108,918152,120000,32.91,83.99,875,1012,0
prefix-heavy,32,16384,legacy,0,535,8760882,1149074,27421,1320353,120000,15.13,61.46,83,1070,0
prefix-heavy,32,16384,delta,0,253,4136798,715326,13074,872274,120000,29.40,90.12,916,506,0
prefix-heavy,32,16384,legacy,1,535,8760882,1149074,27421,1320353,120000,14.11,66.10,84,1070,0
prefix-heavy,32,16384,delta,1,253,4136798,715326,13074,872274,120000,27.37,98.19,917,506,0
prefix-heavy,32,16384,legacy,2,535,8760882,1149074,27421,1320353,120000,16.19,59.06,84,1070,0
prefix-heavy,32,16384,delta,2,253,4136798,715326,13074,872274,120000,29.54,83.31,917,506,0
prefix-heavy,32,16384,legacy,3,535,8760882,1149074,27421,1320353,120000,17.05,58.40,84,1070,0
prefix-heavy,32,16384,delta,3,253,4136798,715326,13074,872274,120000,28.52,81.34,875,506,0
prefix-heavy,32,16384,legacy,4,535,8760882,1149074,27421,1320353,120000,15.33,60.81,84,1070,0
prefix-heavy,32,16384,delta,4,253,4136798,715326,13074,872274,120000,29.05,86.94,917,506,0
prefix-heavy,32,65536,legacy,0,134,8759518,1114782,6968,1265608,120000,14.89,68.34,84,268,0
prefix-heavy,32,65536,delta,0,64,4135432,696324,3369,843567,120000,28.62,94.60,958,128,0
prefix-heavy,32,65536,legacy,1,134,8759518,1114782,6968,1265608,120000,16.17,80.59,84,268,0
prefix-heavy,32,65536,delta,1,64,4135432,696324,3369,843567,120000,36.30,108.38,1000,128,0
prefix-heavy,32,65536,legacy,2,134,8759518,1114782,6968,1265608,120000,18.91,73.52,84,268,0
prefix-heavy,32,65536,delta,2,64,4135432,696324,3369,843567,120000,28.22,82.89,875,128,0
prefix-heavy,32,65536,legacy,3,134,8759518,1114782,6968,1265608,120000,14.55,60.69,83,268,0
prefix-heavy,32,65536,delta,3,64,4135432,696324,3369,843567,120000,26.95,81.24,875,128,0
prefix-heavy,32,65536,legacy,4,134,8759518,1114782,6968,1265608,120000,17.11,59.39,84,268,0
prefix-heavy,32,65536,delta,4,64,4135432,696324,3369,843567,120000,37.58,365.49,917,128,0
random,4,4096,legacy,0,1936,8035102,5950054,19794,6113706,120000,21.23,71.39,792,3872,0
random,4,4096,delta,0,1963,8140391,5885717,20078,6049669,120000,49.04,100.50,291,3926,0
random,4,4096,legacy,1,1936,8035102,5950054,19794,6113706,120000,17.04,137.40,792,3872,0
random,4,4096,delta,1,1963,8140391,5885717,20078,6049669,120000,50.57,115.69,334,3926,0
random,4,4096,legacy,2,1936,8035102,5950054,19794,6113706,120000,18.65,62.12,708,3872,0
random,4,4096,delta,2,1963,8140391,5885717,20078,6049669,120000,38.66,97.94,292,3926,0
random,4,4096,legacy,3,1936,8035102,5950054,19794,6113706,120000,17.05,65.56,750,3872,0
random,4,4096,delta,3,1963,8140391,5885717,20078,6049669,120000,53.24,106.79,292,3926,0
random,4,4096,legacy,4,1936,8035102,5950054,19794,6113706,120000,17.66,64.50,708,3872,0
random,4,4096,delta,4,1963,8140391,5885717,20078,6049669,120000,39.72,115.35,375,3926,0
random,4,8192,legacy,0,974,8028622,5935422,9973,6089253,120000,16.03,96.94,125,1948,0
random,4,8192,delta,0,990,8132402,5840406,10163,5994443,120000,43.16,103.45,375,1980,0
random,4,8192,legacy,1,974,8028622,5935422,9973,6089253,120000,16.53,67.48,125,1948,0
random,4,8192,delta,1,990,8132402,5840406,10163,5994443,120000,493.83,214.79,417,1980,0
random,4,8192,legacy,2,974,8028622,5935422,9973,6089253,120000,21.03,79.69,125,1948,0
random,4,8192,delta,2,990,8132402,5840406,10163,5994443,120000,43.08,130.59,416,1980,0
random,4,8192,legacy,3,974,8028622,5935422,9973,6089253,120000,26.94,69.29,125,1948,0
random,4,8192,delta,3,990,8132402,5840406,10163,5994443,120000,44.00,101.50,333,1980,0
random,4,8192,legacy,4,974,8028622,5935422,9973,6089253,120000,30.80,88.78,125,1948,0
random,4,8192,delta,4,990,8132402,5840406,10163,5994443,120000,40.32,105.50,292,1980,0
random,4,16384,legacy,0,489,8026906,5921220,5062,6070140,120000,18.32,62.21,125,978,0
random,4,16384,delta,0,495,8128074,5802334,5109,5951317,120000,34.33,92.74,250,990,0
random,4,16384,legacy,1,489,8026906,5921220,5062,6070140,120000,15.34,60.55,84,978,0
random,4,16384,delta,1,495,8128074,5802334,5109,5951317,120000,49.63,131.90,417,990,0
random,4,16384,legacy,2,489,8026906,5921220,5062,6070140,120000,17.56,66.19,84,978,0
random,4,16384,delta,2,495,8128074,5802334,5109,5951317,120000,38.22,104.23,334,990,0
random,4,16384,legacy,3,489,8026906,5921220,5062,6070140,120000,16.04,98.59,125,978,0
random,4,16384,delta,3,495,8128074,5802334,5109,5951317,120000,36.22,94.10,250,990,0
random,4,16384,legacy,4,489,8026906,5921220,5062,6070140,120000,15.01,57.92,83,978,0
random,4,16384,delta,4,495,8128074,5802334,5109,5951317,120000,34.14,92.98,250,990,0
random,4,65536,legacy,0,123,8024138,5789174,1448,5934480,120000,13.93,59.70,83,246,0
random,4,65536,delta,0,124,8125638,5636882,1468,5782224,120000,33.31,184.84,375,248,0
random,4,65536,legacy,1,123,8024138,5789174,1448,5934480,120000,14.31,61.00,83,246,0
random,4,65536,delta,1,124,8125638,5636882,1468,5782224,120000,41.61,93.98,250,248,0
random,4,65536,legacy,2,123,8024138,5789174,1448,5934480,120000,14.60,89.21,83,246,0
random,4,65536,delta,2,124,8125638,5636882,1468,5782224,120000,45.91,110.86,375,248,0
random,4,65536,legacy,3,123,8024138,5789174,1448,5934480,120000,14.68,62.08,83,246,0
random,4,65536,delta,3,124,8125638,5636882,1468,5782224,120000,33.60,97.84,250,248,0
random,4,65536,legacy,4,123,8024138,5789174,1448,5934480,120000,15.33,58.94,83,246,0
random,4,65536,delta,4,124,8125638,5636882,1468,5782224,120000,32.77,94.38,250,248,0
random,8,4096,legacy,0,1932,7973018,5884678,19738,6048274,120000,19.38,65.06,750,3864,0
random,8,4096,delta,0,1963,8053321,5801710,20064,5965648,120000,38.28,92.03,375,3926,0
random,8,4096,legacy,1,1932,7973018,5884678,19738,6048274,120000,18.81,61.32,667,3864,0
random,8,4096,delta,1,1963,8053321,5801710,20064,5965648,120000,47.29,111.18,459,3926,0
random,8,4096,legacy,2,1932,7973018,5884678,19738,6048274,120000,17.07,68.15,750,3864,0
random,8,4096,delta,2,1963,8053321,5801710,20064,5965648,120000,40.15,99.77,417,3926,0
random,8,4096,legacy,3,1932,7973018,5884678,19738,6048274,120000,17.78,72.28,792,3864,0
random,8,4096,delta,3,1963,8053321,5801710,20064,5965648,120000,39.45,166.39,625,3926,0
random,8,4096,legacy,4,1932,7973018,5884678,19738,6048274,120000,19.24,65.14,750,3864,0
random,8,4096,delta,4,1963,8053321,5801710,20064,5965648,120000,36.94,93.60,375,3926,0
random,8,8192,legacy,0,967,7969226,5876082,9924,6029864,120000,18.60,62.76,125,1934,0
random,8,8192,delta,0,982,8049275,5756012,10060,5909946,120000,35.25,92.62,375,1964,0
random,8,8192,legacy,1,967,7969226,5876082,9924,6029864,120000,16.44,61.65,125,1934,0
random,8,8192,delta,1,982,8049275,5756012,10060,5909946,120000,50.08,104.56,583,1964,0
random,8,8192,legacy,2,967,7969226,5876082,9924,6029864,120000,18.73,66.67,125,1934,0
random,8,8192,delta,2,982,8049275,5756012,10060,5909946,120000,42.39,112.62,583,1964,0
random,8,8192,legacy,3,967,7969226,5876082,9924,6029864,120000,16.97,66.04,125,1934,0
random,8,8192,delta,3,982,8049275,5756012,10060,5909946,120000,34.04,91.47,334,1964,0
random,8,8192,legacy,4,967,7969226,5876082,9924,6029864,120000,18.06,66.10,125,1934,0
random,8,8192,delta,4,982,8049275,5756012,10060,5909946,120000,43.48,1556.25,625,1964,0
random,8,16384,legacy,0,485,7965802,5858195,5030,6007083,120000,15.37,166.46,84,970,0
random,8,16384,delta,0,491,8044643,5715108,5079,5864061,120000,37.92,169.73,583,982,0
random,8,16384,legacy,1,485,7965802,5858195,5030,6007083,120000,23.71,77.72,84,970,0
random,8,16384,delta,1,491,8044643,5715108,5079,5864061,120000,52.69,117.89,625,982,0
random,8,16384,legacy,2,485,7965802,5858195,5030,6007083,120000,15.30,59.98,83,970,0
random,8,16384,delta,2,491,8044643,5715108,5079,5864061,120000,34.72,90.02,416,982,0
random,8,16384,legacy,3,485,7965802,5858195,5030,6007083,120000,15.93,66.83,84,970,0
random,8,16384,delta,3,491,8044643,5715108,5079,5864061,120000,37.65,109.18,458,982,0
random,8,16384,legacy,4,485,7965802,5858195,5030,6007083,120000,15.00,61.66,84,970,0
random,8,16384,delta,4,491,8044643,5715108,5079,5864061,120000,33.00,90.48,375,982,0
random,8,65536,legacy,0,122,7964346,5728884,1452,5874194,120000,16.17,62.45,84,244,0
random,8,65536,delta,0,123,8042223,5546681,1452,5692007,120000,32.65,92.21,375,246,0
random,8,65536,legacy,1,122,7964346,5728884,1452,5874194,120000,14.20,67.74,84,244,0
random,8,65536,delta,1,123,8042223,5546681,1452,5692007,120000,35.48,106.88,583,246,0
random,8,65536,legacy,2,122,7964346,5728884,1452,5874194,120000,14.45,65.83,83,244,0
random,8,65536,delta,2,123,8042223,5546681,1452,5692007,120000,40.52,104.71,375,246,0
random,8,65536,legacy,3,122,7964346,5728884,1452,5874194,120000,14.58,60.09,83,244,0
random,8,65536,delta,3,123,8042223,5546681,1452,5692007,120000,32.80,106.43,375,246,0
random,8,65536,legacy,4,122,7964346,5728884,1452,5874194,120000,13.99,61.39,83,244,0
random,8,65536,delta,4,123,8042223,5546681,1452,5692007,120000,32.93,98.42,375,246,0
random,16,4096,legacy,0,1932,7942118,5853778,19734,6017370,120000,20.55,73.35,792,3864,0
random,16,4096,delta,0,1932,8008994,5751573,19733,5915180,120000,38.62,89.76,625,3864,0
random,16,4096,legacy,1,1932,7942118,5853778,19734,6017370,120000,20.73,70.50,792,3864,0
random,16,4096,delta,1,1932,8008994,5751573,19733,5915180,120000,39.92,100.92,625,3864,0
random,16,4096,legacy,2,1932,7942118,5853778,19734,6017370,120000,20.02,66.48,750,3864,0
random,16,4096,delta,2,1932,8008994,5751573,19733,5915180,120000,36.77,94.20,625,3864,0
random,16,4096,legacy,3,1932,7942118,5853778,19734,6017370,120000,33.13,138.38,916,3864,0
random,16,4096,delta,3,1932,8008994,5751573,19733,5915180,120000,43.06,107.35,791,3864,0
random,16,4096,legacy,4,1932,7942118,5853778,19734,6017370,120000,20.58,65.72,750,3864,0
random,16,4096,delta,4,1932,8008994,5751573,19733,5915180,120000,59.89,103.31,708,3864,0
random,16,8192,legacy,0,966,7938254,5843683,9925,5997466,120000,17.32,74.11,125,1932,0
random,16,8192,delta,0,974,8005458,5707569,10051,5861494,120000,56.47,175.87,1167,1948,0
random,16,8192,legacy,1,966,7938254,5843683,9925,5997466,120000,42.92,74.76,125,1932,0
random,16,8192,delta,1,974,8005458,5707569,10051,5861494,120000,40.68,104.15,625,1948,0
random,16,8192,legacy,2,966,7938254,5843683,9925,5997466,120000,18.09,62.33,125,1932,0
random,16,8192,delta,2,974,8005458,5707569,10051,5861494,120000,78.97,846.63,958,1948,0
random,16,8192,legacy,3,966,7938254,5843683,9925,5997466,120000,17.58,67.36,125,1932,0
random,16,8192,delta,3,974,8005458,5707569,10051,5861494,120000,45.12,109.87,667,1948,0
random,16,8192,legacy,4,966,7938254,5843683,9925,5997466,120000,25.60,61.80,125,1932,0
random,16,8192,delta,4,974,8005458,5707569,10051,5861494,120000,35.17,89.66,584,1948,0
random,16,16384,legacy,0,483,7936322,5826088,4992,5974938,120000,15.03,62.10,83,966,0
random,16,16384,delta,0,488,8003555,5668729,5053,5817656,120000,52.26,132.60,791,976,0
random,16,16384,legacy,1,483,7936322,5826088,4992,5974938,120000,15.29,62.58,83,966,0
random,16,16384,delta,1,488,8003555,5668729,5053,5817656,120000,36.11,91.63,584,976,0
random,16,16384,legacy,2,483,7936322,5826088,4992,5974938,120000,14.88,62.01,84,966,0
random,16,16384,delta,2,488,8003555,5668729,5053,5817656,120000,40.46,111.95,708,976,0
random,16,16384,legacy,3,483,7936322,5826088,4992,5974938,120000,18.09,68.12,84,966,0
random,16,16384,delta,3,488,8003555,5668729,5053,5817656,120000,33.72,102.00,625,976,0
