config,engine,phase,run,ops
k16_v16384,tidesdb,Get,1,515430.84
k16_v16384,tidesdb,Forward,1,75481.61
k16_v16384,tidesdb,Backward,1,75198.56
k16_v16384,tidesdb,Delete,1,1070534.81
k16_v16384,tidesdb,Put,2,149370.48
k16_v16384,tidesdb,Get,2,475429.10
k16_v16384,tidesdb,Forward,2,69933.71
k16_v16384,tidesdb,Backward,2,61492.61
k16_v16384,tidesdb,Delete,2,1007285.36
k16_v16384,ondadb,Put,1,109405
k16_v16384,ondadb,Get,1,745258
k16_v16384,ondadb,Forward,1,269344
k16_v16384,ondadb,Backward,1,280058
k16_v16384,ondadb,Delete,1,6646820
k16_v16384,ondadb,Put,2,103803
k16_v16384,ondadb,Get,2,676666
k16_v16384,ondadb,Forward,2,229219
k16_v16384,ondadb,Backward,2,233345
k16_v16384,ondadb,Delete,2,5977773
k16_v16384,fjall,Put,1,147087
k16_v16384,fjall,Get,1,2817563
k16_v16384,fjall,Forward,1,69622
k16_v16384,fjall,Backward,1,101050
k16_v16384,fjall,Delete,1,2068408
k16_v16384,fjall,Put,2,222803
k16_v16384,fjall,Get,2,2312306
k16_v16384,fjall,Forward,2,70795
k16_v16384,fjall,Backward,2,99191
k16_v16384,fjall,Delete,2,2137490
k16_v16384,surrealkv,Put,1,76189
k16_v16384,surrealkv,Get,1,106793
k16_v16384,surrealkv,Forward,1,81697
k16_v16384,surrealkv,Backward,1,75107
k16_v16384,surrealkv,Delete,1,3085775
k16_v16384,surrealkv,Put,2,76628
k16_v16384,surrealkv,Get,2,128826
k16_v16384,surrealkv,Forward,2,86612
k16_v16384,surrealkv,Backward,2,78390
k16_v16384,surrealkv,Delete,2,3145736
k16_v16384,wavesdb,Put,1,60442
k16_v16384,wavesdb,Get,1,384821
k16_v16384,wavesdb,Forward,1,46339
k16_v16384,wavesdb,Backward,1,28523
k16_v16384,wavesdb,Delete,1,4265054
k16_v16384,wavesdb,Put,2,43773
k16_v16384,wavesdb,Get,2,368465
k16_v16384,wavesdb,Forward,2,41874
k16_v16384,wavesdb,Backward,2,28838
k16_v16384,wavesdb,Delete,2,3954687
k16_v16384,badger,Put,1,119217
k16_v16384,badger,Get,1,155408
k16_v16384,badger,Forward,1,204727
k16_v16384,badger,Backward,1,306842
k16_v16384,badger,Delete,1,1554920
k16_v16384,badger,Put,2,122455
k16_v16384,badger,Get,2,155629
k16_v16384,badger,Forward,2,200936
k16_v16384,badger,Backward,2,317349
k16_v16384,badger,Delete,2,1848963
k16_v16384,wildcat,Put,1,2442
k16_v16384,wildcat,Get,1,1474
k16_v16384,wildcat,Forward,1,2064
k16_v16384,wildcat,Backward,1,2015
k16_v16384,wildcat,Delete,1,96204
k16_v16384,wildcat,Put,2,2409
k16_v16384,wildcat,Get,2,1391
k16_v16384,wildcat,Forward,2,2059
k16_v16384,wildcat,Backward,2,2010
k16_v16384,wildcat,Delete,2,92518
k16_v16384,rocksdb,Put,1,137845
k16_v16384,rocksdb,Get,1,424066
k16_v16384,rocksdb,Forward,1,93994
k16_v16384,rocksdb,Backward,1,136269
k16_v16384,rocksdb,Delete,1,4745544
k16_v16384,rocksdb,Put,2,132033
k16_v16384,rocksdb,Get,2,426594
k16_v16384,rocksdb,Forward,2,92664
k16_v16384,rocksdb,Backward,2,138311
k16_v16384,rocksdb,Delete,2,5270669
k1024_v256,tidesdb,Put,1,3206563.43
k1024_v256,tidesdb,Get,1,1335208.07
k1024_v256,tidesdb,Forward,1,2804570.21
