config,engine,phase,run,ops
k2048_v256,fjall,Backward,2,491851
k2048_v256,fjall,Delete,2,114468
k2048_v256,surrealkv,Put,1,83694
k2048_v256,surrealkv,Get,1,14042
k2048_v256,surrealkv,Forward,1,57647
k2048_v256,surrealkv,Backward,1,56880
k2048_v256,surrealkv,Delete,1,92146
k2048_v256,surrealkv,Put,2,86709
k2048_v256,surrealkv,Get,2,12120
k2048_v256,surrealkv,Forward,2,68257
k2048_v256,surrealkv,Backward,2,57318
k2048_v256,surrealkv,Delete,2,97702
k2048_v256,wavesdb,Put,1,176032
k2048_v256,wavesdb,Get,1,319660
k2048_v256,wavesdb,Forward,1,717994
k2048_v256,wavesdb,Backward,1,397346
k2048_v256,wavesdb,Delete,1,223796
k2048_v256,wavesdb,Put,2,130229
k2048_v256,wavesdb,Get,2,316104
k2048_v256,wavesdb,Forward,2,613101
k2048_v256,wavesdb,Backward,2,610599
k2048_v256,wavesdb,Delete,2,222010
k2048_v256,badger,Put,1,215122
k2048_v256,badger,Get,1,339033
k2048_v256,badger,Forward,1,448147
k2048_v256,badger,Backward,1,480859
k2048_v256,badger,Delete,1,263831
k2048_v256,badger,Put,2,236116
k2048_v256,badger,Get,2,352165
k2048_v256,badger,Forward,2,428728
k2048_v256,badger,Backward,2,501115
k2048_v256,badger,Delete,2,269503
k2048_v256,rocksdb,Put,1,114559
k2048_v256,rocksdb,Get,1,496005
k2048_v256,rocksdb,Forward,1,577296
k2048_v256,rocksdb,Backward,1,247075
k2048_v256,rocksdb,Delete,1,172563
k2048_v256,rocksdb,Put,2,91707
k2048_v256,rocksdb,Get,2,482448
k2048_v256,rocksdb,Forward,2,574978
k2048_v256,rocksdb,Backward,2,211802
k2048_v256,rocksdb,Delete,2,153778
